ID,優先度,企業名,区分,業種,都道府県,主要エリア,掲載件数,拠点数,通年採用,初回掲載,最終掲載,掲載期間日数,推定月額出稿,スコア,法人格,問い合わせ先検索,求人サンプル,HP_URL,フォームURL,ステータス,送信日,返信,メモ
IND-0195,C,社会福祉法人みちおせ福祉会,地方企業,介護,栃木県,宇都宮市駒生町,1,1,要確認,2026-04-21,2026-04-21,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E7%A4%BE%E4%BC%9A%E7%A6%8F%E7%A5%89%E6%B3%95%E4%BA%BA%E3%81%BF%E3%81%A1%E3%81%8A%E3%81%9B%E7%A6%8F%E7%A5%89%E4%BC%9A%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aas72zst9ltp,,,未着手,,,
IND-0196,C,株式会社スズカキャリーサービス,地方企業,運送,三重県,鈴鹿市国府町,1,1,要確認,2026-02-28,2026-02-28,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B9%E3%82%BA%E3%82%AB%E3%82%AD%E3%83%A3%E3%83%AA%E3%83%BC%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aapwhpdjq2bm,,,未着手,,,
IND-0197,C,ニッコン株式会社,地方企業,運送,三重県,鈴鹿市御薗町,1,1,要確認,2026-04-27,2026-04-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E3%83%8B%E3%83%83%E3%82%B3%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aakwtqrlgj26,,,未着手,,,
IND-0198,C,株式会社高野,地方企業,運送,三重県,四日市市桜町,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E9%AB%98%E9%87%8E%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aatckm88k4qq,,,未着手,,,
IND-0199,C,ホンダ運送株式会社,地方企業,運送,三重県,鈴鹿市国府町,1,1,要確認,2026-02-23,2026-02-23,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E3%83%9B%E3%83%B3%E3%83%80%E9%81%8B%E9%80%81%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aaxpk929wcqd,,,未着手,,,
IND-0200,C,有限会社成企画,地方企業,アミューズメント,山口県,山口市,1,1,要確認,2026-03-01,2026-03-01,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E6%88%90%E4%BC%81%E7%94%BB%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa9mbksql8zd,,,未着手,,,
IND-0201,C,株式会社栄興企画,地方企業,アミューズメント,山口県,宇部市岐波,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%A0%84%E8%88%88%E4%BC%81%E7%94%BB%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aabt2yjgnhtk,,,未着手,,,
IND-0202,C,株式会社テキサスカンパニー,地方企業,アミューズメント,山口県,岩国市今津町,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%86%E3%82%AD%E3%82%B5%E3%82%B9%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa779dzy2bj6,,,未着手,,,
IND-0203,C,木村商事合同会社,地方企業,飲食,岩手県,盛岡市三本柳,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%9C%A8%E6%9D%91%E5%95%86%E4%BA%8B%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aavkb6dlrdm4,,,未着手,,,
IND-0204,C,株式会社FOOLISH,地方企業,飲食,岩手県,盛岡市大通,1,1,要確認,2026-05-08,2026-05-08,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEFOOLISH%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aarqm2zmhmkn,,,未着手,,,
IND-0205,C,株式会社FS.shake,地方企業,飲食,岩手県,盛岡市大通,1,1,要確認,2026-02-28,2026-02-28,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEFS.shake%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aazzpsdcx88r,,,未着手,,,
IND-0206,C,株式会社B・O・H,地方企業,飲食,広島県,広島市堀川町,1,1,要確認,2026-04-07,2026-04-07,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEB%E3%83%BBO%E3%83%BBH%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aakltlsymbrl,,,未着手,,,
IND-0207,C,株式会社ウィズリンク,地方企業,飲食,広島県,熊野町萩原,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A6%E3%82%A3%E3%82%BA%E3%83%AA%E3%83%B3%E3%82%AF%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aawtfzqsgmsn,,,未着手,,,
IND-0208,C,株式会社WAKO,地方企業,飲食,広島県,広島市西白島町,1,1,要確認,2026-03-04,2026-03-04,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEWAKO%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aafy87t4wjrp,,,未着手,,,
IND-0209,C,内村酸素株式会社,地方企業,運送,熊本県,嘉島町,1,1,要確認,2025-11-28,2025-11-28,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E5%86%85%E6%9D%91%E9%85%B8%E7%B4%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa2jgtjxyhgb,,,未着手,,,
IND-0210,C,九州西濃運輸株式会社,全国大手,運送,熊本県,熊本市上南部,1,1,要確認,2026-02-23,2026-02-23,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E4%B9%9D%E5%B7%9E%E8%A5%BF%E6%BF%83%E9%81%8B%E8%BC%B8%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aaqykqtjml2x,,,未着手,,,
IND-0211,C,株式会社第一実業,地方企業,アミューズメント,新潟県,魚沼市,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E7%AC%AC%E4%B8%80%E5%AE%9F%E6%A5%AD%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa9v88ss7m9k,,,未着手,,,
IND-0212,C,株式会社エム・アイ・ディジャパン,地方企業,アミューズメント,新潟県,上越市福田,1,1,要確認,2026-03-27,2026-03-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A8%E3%83%A0%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%BB%E3%83%87%E3%82%A3%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aapn7htmvrtt,,,未着手,,,
IND-0213,C,株式会社シリウス,地方企業,アミューズメント,新潟県,新発田市富塚町,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B7%E3%83%AA%E3%82%A6%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aayf8lzfmxy2,,,未着手,,,
IND-0214,C,株式会社ミレニアム,地方企業,介護,香川県,高松市,1,1,要確認,2026-03-05,2026-03-05,0,10万円未満の可能性,22,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9F%E3%83%AC%E3%83%8B%E3%82%A2%E3%83%A0%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aamm2sl8jbzz,,,未着手,,,
IND-0215,C,株式会社ディーワーク,地方企業,小売,広島県,広島市本通,1,1,要確認,2026-04-06,2026-04-06,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%87%E3%82%A3%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aasfxz27twxz,,,未着手,,,
IND-0216,C,株式会社メイジン,地方企業,建設,静岡県,沼津市御幸町,1,1,要確認,2026-04-30,2026-04-30,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A1%E3%82%A4%E3%82%B8%E3%83%B3%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aav6tj6zkmfd,,,未着手,,,
IND-0217,C,加和太建設株式会社,地方企業,建設,静岡県,三島市,1,1,要確認,2026-04-22,2026-04-22,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E5%8A%A0%E5%92%8C%E5%A4%AA%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aah79hzbxz9k,,,未着手,,,
IND-0218,C,株式会社トップリフォーム,地方企業,建設,静岡県,浜松市中央区,1,1,要確認,2024-08-26,2024-08-26,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%88%E3%83%83%E3%83%97%E3%83%AA%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aarl72s92dnv,,,未着手,,,
IND-0219,C,ツカサ工業株式会社,地方企業,自動車,長野県,大町市,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E3%83%84%E3%82%AB%E3%82%B5%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aawhylghg9xp,,,未着手,,,
IND-0220,C,株式会社BAP-holdings,地方企業,美容,岡山県,倉敷市西中新田,1,1,要確認,2026-02-25,2026-02-25,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEBAP-holdings%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aabb9srgmwdm,,,未着手,,,
IND-0221,C,有限会社ウイザード,地方企業,美容,岡山県,岡山市表町,1,1,要確認,2026-02-25,2026-02-25,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E3%82%A6%E3%82%A4%E3%82%B6%E3%83%BC%E3%83%89%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa7qk447sc7t,,,未着手,,,
IND-0222,C,藤沢自動車株式会社,地方企業,自動車,石川県,金沢市間明町,1,1,要確認,2026-04-28,2026-04-28,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E8%97%A4%E6%B2%A2%E8%87%AA%E5%8B%95%E8%BB%8A%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aaqckkjfbqvw,,,未着手,,,
IND-0223,C,株式会社富士技研,地方企業,建設,富山県,富山市願海寺,1,1,要確認,2026-02-26,2026-02-26,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%AF%8C%E5%A3%AB%E6%8A%80%E7%A0%94%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aafrzbdmhvbk,,,未着手,,,
IND-0224,C,株式会社すまいるほーむ,地方企業,建設,富山県,富山市中川原,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%99%E3%81%BE%E3%81%84%E3%82%8B%E3%81%BB%E3%83%BC%E3%82%80%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aazd7z9rbrbj,,,未着手,,,
IND-0225,C,株式会社広和,地方企業,建設,富山県,高岡市向野町,1,1,要確認,2026-02-26,2026-02-26,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%BA%83%E5%92%8C%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aat7rfnc8lpy,,,未着手,,,
IND-0226,C,学校法人大里学園,地方企業,保育,静岡県,静岡市葵区新富町,1,1,要確認,2026-03-09,2026-03-09,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E5%AD%A6%E6%A0%A1%E6%B3%95%E4%BA%BA%E5%A4%A7%E9%87%8C%E5%AD%A6%E5%9C%92%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aagy7mr2np4n,,,未着手,,,
IND-0227,C,株式会社田子重,地方企業,小売,静岡県,焼津市小柳津,1,1,要確認,2026-03-04,2026-03-04,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E7%94%B0%E5%AD%90%E9%87%8D%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa6fnxp6rbkj,,,未着手,,,
IND-0228,C,株式会社タナカふとんサービス,地方企業,小売,大分県,大分市公園通り西,1,1,要確認,2024-12-05,2024-12-05,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%BF%E3%83%8A%E3%82%AB%E3%81%B5%E3%81%A8%E3%82%93%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa4qdfb6pg4x,,,未着手,,,
IND-0229,C,株式会社ナック,地方企業,小売,福島県,郡山市開成,1,1,要確認,2026-03-23,2026-03-23,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%8A%E3%83%83%E3%82%AF%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aatywxbcwtch,,,未着手,,,
IND-0230,C,ミヤコウシティ美容室,単店舗,美容,宮崎県,宮崎市大淀,1,1,要確認,2026-03-03,2026-03-03,0,10万円未満の可能性,18,要確認,https://www.google.com/search?q=%22%E3%83%9F%E3%83%A4%E3%82%B3%E3%82%A6%E3%82%B7%E3%83%86%E3%82%A3%E7%BE%8E%E5%AE%B9%E5%AE%A4%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aat6dq6z8hdg,,,未着手,,,
IND-0231,C,ハヤスズ美容室,単店舗,美容,宮崎県,都城市早鈴町,1,1,要確認,2026-03-03,2026-03-03,0,10万円未満の可能性,18,要確認,https://www.google.com/search?q=%22%E3%83%8F%E3%83%A4%E3%82%B9%E3%82%BA%E7%BE%8E%E5%AE%B9%E5%AE%A4%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aamj7slt4xzt,,,未着手,,,
IND-0232,C,サイワイマチ美容室,単店舗,美容,宮崎県,延岡市幸町,1,1,要確認,2026-03-03,2026-03-03,0,10万円未満の可能性,18,要確認,https://www.google.com/search?q=%22%E3%82%B5%E3%82%A4%E3%83%AF%E3%82%A4%E3%83%9E%E3%83%81%E7%BE%8E%E5%AE%B9%E5%AE%A4%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aay44lj8zbdr,,,未着手,,,
IND-0233,C,株式会社辨天技建,地方企業,建設,秋田県,湯沢市二井田字道下,1,1,要確認,2026-03-11,2026-03-11,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E8%BE%A8%E5%A4%A9%E6%8A%80%E5%BB%BA%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aavktgrc4ky6,,,未着手,,,
IND-0234,C,佐藤建設株式会社,地方企業,建設,秋田県,仙北市田沢湖,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E4%BD%90%E8%97%A4%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aawbcgdhgcpr,,,未着手,,,
IND-0235,C,株式会社東建工営,地方企業,建設,秋田県,秋田市山王,1,1,要確認,2026-04-05,2026-04-05,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%9D%B1%E5%BB%BA%E5%B7%A5%E5%96%B6%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa2zd68w4djd,,,未着手,,,
IND-0236,C,有限会社チャンス,地方企業,自動車,茨城県,神栖市平泉,1,1,要確認,2025-09-25,2025-09-25,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E3%83%81%E3%83%A3%E3%83%B3%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aak9zphtdbzw,,,未着手,,,
IND-0237,C,株式会社ジェイオー,地方企業,自動車,茨城県,つくばみらい市小絹,1,1,要確認,2026-02-28,2026-02-28,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%AA%E3%83%BC%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aadspbb69zbz,,,未着手,,,
IND-0238,C,社会福祉法人おさなご会,地方企業,保育,滋賀県,甲賀市信楽町長野,1,1,要確認,2026-02-25,2026-02-25,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E7%A4%BE%E4%BC%9A%E7%A6%8F%E7%A5%89%E6%B3%95%E4%BA%BA%E3%81%8A%E3%81%95%E3%81%AA%E3%81%94%E4%BC%9A%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aafpjjtzm66p,,,未着手,,,
IND-0239,C,株式会社オーエムツーミート,全国大手,小売,鳥取県,鳥取市,1,1,要確認,2026-03-06,2026-03-06,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AA%E3%83%BC%E3%82%A8%E3%83%A0%E3%83%84%E3%83%BC%E3%83%9F%E3%83%BC%E3%83%88%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aamschzdkngb,,,未着手,,,
IND-0240,C,株式会社フーズマーケットホック,地方企業,小売,鳥取県,米子市,1,1,要確認,2026-04-21,2026-04-21,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%95%E3%83%BC%E3%82%BA%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%83%E3%83%88%E3%83%9B%E3%83%83%E3%82%AF%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa4ykvnsmjzv,,,未着手,,,
IND-0241,C,有限会社読売新聞紀中販売,地方企業,ホテル,和歌山県,御坊市島,1,1,要確認,2026-03-22,2026-03-22,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E8%AA%AD%E5%A3%B2%E6%96%B0%E8%81%9E%E7%B4%80%E4%B8%AD%E8%B2%A9%E5%A3%B2%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa6cbm9ygy4x,,,未着手,,,
IND-0242,C,株式会社マルヤテキスタイル,地方企業,製造,福井県,坂井市春江町金剛寺,1,1,要確認,2026-03-01,2026-03-01,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9E%E3%83%AB%E3%83%A4%E3%83%86%E3%82%AD%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aawwdvnzjj2w,,,未着手,,,
IND-0243,C,福井鐵工株式会社,地方企業,製造,福井県,あわら市波松,1,1,要確認,2026-03-01,2026-03-01,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E7%A6%8F%E4%BA%95%E9%90%B5%E5%B7%A5%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aatz2g9bxdc8,,,未着手,,,
IND-0244,C,ペトロケミカルス株式会社,地方企業,製造,福井県,福井市石橋町,1,1,要確認,2025-10-08,2025-10-08,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E3%83%9A%E3%83%88%E3%83%AD%E3%82%B1%E3%83%9F%E3%82%AB%E3%83%AB%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aazh9yk6v7rv,,,未着手,,,
IND-0245,C,大豊化学工業株式会社,地方企業,製造,福井県,越前市文室町,1,1,要確認,2025-03-17,2025-03-17,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E5%A4%A7%E8%B1%8A%E5%8C%96%E5%AD%A6%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aazypj8zvq6z,,,未着手,,,
IND-0246,C,岩佐織物株式会社,地方企業,製造,福井県,永平寺町竹原,1,1,要確認,2026-02-20,2026-02-20,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E5%B2%A9%E4%BD%90%E7%B9%94%E7%89%A9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aat2qcngzqnc,,,未着手,,,
IND-0247,C,株式会社Mag Inc.,地方企業,美容,長野県,塩尻市広丘野村,1,1,要確認,2026-02-27,2026-02-27,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEMag%20Inc.%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa4stzdgq649,,,未着手,,,
IND-0248,C,Loput合同会社,地方企業,美容,長野県,長野市南長野,1,1,要確認,2026-02-25,2026-02-25,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22Loput%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa69kycppscy,,,未着手,,,
IND-0249,C,株式会社Shelly Style,地方企業,美容,長野県,松本市平田東,1,1,要確認,2026-02-25,2026-02-25,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEShelly%20Style%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aalnw7fzpvnn,,,未着手,,,
IND-0250,C,株式会社フェニックス,地方企業,自動車,島根県,松江市馬潟町,1,1,要確認,2026-02-26,2026-02-26,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%95%E3%82%A7%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa7mxf6msbzm,,,未着手,,,
IND-0251,C,有限会社森脇モータース,地方企業,自動車,島根県,松江市東本町,1,1,要確認,2026-03-03,2026-03-03,0,10万円未満の可能性,18,,https://www.google.com/search?q=%22%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E6%A3%AE%E8%84%87%E3%83%A2%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aaplvgsf6j7r,,,未着手,,,
